college_name,Department Name,Course Name,Professor,Class Time
소프트웨어대학,소프트웨어학과,"알고리즘개론
Algorithms",조대호,"화13:30-14:45【26310】,목12:00-13:15【26310】"
소프트웨어대학,소프트웨어학과,"산학협력프로젝트1
Industry-Academy Cooperation Project1",박희선,수17:00-17:50【26308】
소프트웨어대학,소프트웨어학과,"산학협력프로젝트2
Industry-Academy Cooperation Project2",황영숙,수17:00-17:50【26310】
소프트웨어대학,소프트웨어학과,"시스템프로그래밍실습
System Programming Lab",한환수,"월18:00-18:50【85718】,월19:00-19:50【85718】,월20:00-20:50【85718】,월21:00-21:45【85718】"
소프트웨어대학,소프트웨어학과,"시스템프로그래밍실습
System Programming Lab",서의성,"월18:00-18:50【85702】,월19:00-19:50【85702】,월20:00-20:50【85702】,월21:00-21:45【85702】"
소프트웨어대학,소프트웨어학과,"컴퓨터개론
Introduction to Computer Engineering",우홍욱,"목13:00-13:50【26312】,목14:00-14:50【26312】"
소프트웨어대학,소프트웨어학과,"오픈소스소프트웨어실습
Open Source Software Practice",박진영,"수18:00-18:50【330102】,수19:00-19:50【330102】,수20:00-20:50【330102】,수21:00-21:45【330102】"
소프트웨어대학,소프트웨어학과,"JAVA프로그래밍실습
JAVA Programming Lab",타메르,"목18:00-18:50【85712】,목19:00-19:50【85712】,목20:00-20:50【85712】,목21:00-21:45【85712】"
소프트웨어대학,소프트웨어학과,"시스템프로그래밍실습
System Programming Lab",이준원,"월18:00-18:50【85712】,월19:00-19:50【85712】,월20:00-20:50【85712】,월21:00-21:45【85712】"
소프트웨어대학,소프트웨어학과,"시스템프로그래밍실습
System Programming Lab",서의성,"수18:00-18:50【400118】,수19:00-19:50【400202】,수20:00-20:50【400202】,수21:00-21:45【400202】"
소프트웨어대학,소프트웨어학과,"산학협력프로젝트3
Industry-Academy Cooperation Project3",이주식,수17:00-17:50【26307】
소프트웨어대학,소프트웨어학과,"문제해결
Problem Solving Techniques",조재민,"월16:30-17:45【26310】,수15:00-16:15【26310】"
소프트웨어대학,소프트웨어학과,"소프트웨어실무프로젝트
Software Practice Project",이미향,미지정
소프트웨어대학,소프트웨어학과,"소프트웨어공학개론
Introduction to Software Engineering",이은석,"금15:00-16:15【85718】,금16:30-17:45【85718】"
소프트웨어대학,소프트웨어학과,"소프트웨어공학개론
Introduction to Software Engineering",차수영,"월09:00-10:15【26312】,수10:30-11:45【26312】"
소프트웨어대학,소프트웨어학과,"데이터베이스개론
Introduction to Database",남범석,"화16:30-17:45【27511】,목15:00-16:15【27511】"
소프트웨어대학,소프트웨어학과,"운영체제
Operating Systems",서의성,"월12:00-13:15【23217】,수13:30-14:45【23217】"
소프트웨어대학,소프트웨어학과,"운영체제
Operating Systems",엄영익,"화12:00-13:15【27511】,목13:30-14:45【27511】"
소프트웨어대학,소프트웨어학과,"컴퓨터구조개론
Introduction to Computer Architectures",조형민,"월13:30-14:45【23217】,수12:00-13:15【23217】"
소프트웨어대학,소프트웨어학과,"컴퓨터구조개론
Introduction to Computer Architectures",신동군,"월12:00-13:15【400126】,수13:30-14:45【400126】"
소프트웨어대학,소프트웨어학과,"컴퓨터구조개론
Introduction to Computer Architectures",한태희,"월10:30-11:45【400118】,수09:00-10:15【400118】"
소프트웨어대학,소프트웨어학과,"프로그래밍언어
Programming Languages",황성재,"화15:00-16:15【330110】,목16:30-17:45【330110】"
소프트웨어대학,소프트웨어학과,"프로그래밍언어
Programming Languages",타메르,"화10:30-11:45【26312】,목09:00-10:15【26312】"
소프트웨어대학,소프트웨어학과,"컴퓨터그래픽스개론
Introduction to Computer Graphics",이성길,"월16:30-17:45【27511】,수15:00-16:15【27511】"
소프트웨어대학,소프트웨어학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】"
