class_code,college_name,department_name,course_name,professor,class_time,class_type
GBE4003-41,성균융합원,글로벌바이오메디컬공학과,"BME고급의료영상
BME Advanced Medical Imaging",박장연,"목15:00-16:15【86120】,목16:30-17:45【86120】",국제어수업
GBE4011-41,성균융합원,글로벌바이오메디컬공학과,"휴먼레벨인공지능개론
Introduction to Human-level Artificial intelligence",홍석준,"금09:00-10:15【86102】,금10:30-11:45【86102】",일반수업
GBE4016-41,성균융합원,글로벌바이오메디컬공학과,"고급통계와응용
Advanced Statistics and Applications",손한샘,"월12:00-13:15【86102】,월13:30-14:45【86102】",국제어수업
GBE3066-41,성균융합원,글로벌바이오메디컬공학과,"고급생체재료화학
Advanced Biomaterial Chemistry",신미경,"수09:00-10:15【86102】,수10:30-11:45【86102】",국제어수업
GBE3071-41,성균융합원,글로벌바이오메디컬공학과,"바이오데이터마이닝
biodatamining",홍석준,"금12:00-13:15【86120】,금13:30-14:45【86120】",일반수업
GBE3074-41,성균융합원,글로벌바이오메디컬공학과,"세포공학개론
Fundamentals of cell engineering",이정승,"월15:00-16:15【86102】,수16:30-17:45【86102】",국제어수업
GBE3082-41,성균융합원,글로벌바이오메디컬공학과,"의용전자기학
BME Electromagnetic Theory",박한규,"화16:30-17:45【86102】,목15:00-16:15【86102】",국제어수업
GBE4003-41,성균융합원,글로벌바이오메디컬공학과,"BME고급의료영상
BME Advanced Medical Imaging",박장연,"목15:00-16:15【86120】,목16:30-17:45【86120】",국제어수업
GBE4011-41,성균융합원,글로벌바이오메디컬공학과,"휴먼레벨인공지능개론
Introduction to Human-level Artificial intelligence",홍석준,"금09:00-10:15【86102】,금10:30-11:45【86102】",일반수업
GBE4016-41,성균융합원,글로벌바이오메디컬공학과,"고급통계와응용
Advanced Statistics and Applications",손한샘,"월12:00-13:15【86102】,월13:30-14:45【86102】",국제어수업
GBE4017-41,성균융합원,글로벌바이오메디컬공학과,"계산신경과학입문
Introduction to Computational Neuroscience",유승범,"월16:30-17:45【86102】,수15:00-16:15【86102】",국제어수업
GBE7003-41,성균융합원,글로벌바이오메디컬공학과,"생체재료기기분석
Biomaterials Instrumental Analysis",신미경,"월15:00-16:15【86126】,월16:30-17:45【86126】",국제어수업
IBT3056-41,성균융합원,글로벌바이오메디컬공학과,"바이오공정공학
Bioprocess Engineering",권대혁,"월15:00-16:15【62355】,수16:30-17:45【62355】",일반수업
IPH4003-41,성균융합원,글로벌바이오메디컬공학과,"의사결정신경과학최신경향
Recent advancements in systems neuroscience focusing on decision making",김형구,"월09:00-10:15【86102】,월10:30-11:45【86102】",국제어수업
IPH7001-41,성균융합원,글로벌바이오메디컬공학과,"정밀의료를위한초음파변환자원리
Ultrasound transducers for precise medicine",박진형,"수15:00-16:15【86106】,수16:30-17:45【86106】",국제어수업
IPH7004-41,성균융합원,글로벌바이오메디컬공학과,"연구논문작성기법
Technical Writing for Research Papers",조한상,"월15:00-16:15【86106】,월16:30-17:45【86106】",국제어수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
GBE4017-41,성균융합원,글로벌바이오메디컬공학과,"계산신경과학입문
Introduction to Computational Neuroscience",유승범,"월16:30-17:45【86102】,수15:00-16:15【86102】",국제어수업
GBE7003-41,성균융합원,글로벌바이오메디컬공학과,"생체재료기기분석
Biomaterials Instrumental Analysis",신미경,"월15:00-16:15【86126】,월16:30-17:45【86126】",국제어수업
IBT3056-41,성균융합원,글로벌바이오메디컬공학과,"바이오공정공학
Bioprocess Engineering",권대혁,"월15:00-16:15【62355】,수16:30-17:45【62355】",일반수업
IPH4003-41,성균융합원,글로벌바이오메디컬공학과,"의사결정신경과학최신경향
Recent advancements in systems neuroscience focusing on decision making",김형구,"월09:00-10:15【86102】,월10:30-11:45【86102】",국제어수업
IPH4004-41,성균융합원,글로벌바이오메디컬공학과,"정서신경과학개론
Affective Neuroscience Basics",우충완,"월18:00-19:15【86102】,월19:30-20:45【86102】",국제어수업
IPH7001-41,성균융합원,글로벌바이오메디컬공학과,"정밀의료를위한초음파변환자원리
Ultrasound transducers for precise medicine",박진형,"수15:00-16:15【86106】,수16:30-17:45【86106】",국제어수업
IPH7004-41,성균융합원,글로벌바이오메디컬공학과,"연구논문작성기법
Technical Writing for Research Papers",조한상,"월15:00-16:15【86106】,월16:30-17:45【86106】",국제어수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
SWE3011-42,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",김광수,"화15:00-16:15【26515】,목16:30-17:45【26515】",일반수업
SWE3011-43,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",고영중,"금09:00-10:15【400102】,금10:30-11:45【400102】",일반수업
IPH7005-41,성균융합원,글로벌바이오메디컬공학과,"지능형바이오융합세미나
Intelligent Bio Convergence Seminar",이준열,"화15:00-16:15【86120】,화16:30-17:45【86120】",국제어수업
PHR2012-41,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"월09:00-10:15【530250】,월10:30-11:45【530250】",일반수업
PHR2012-42,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"화16:00-16:50【530150】,화17:00-17:50【530150】,화18:00-18:50【530150】",일반수업
PHR2012-43,성균융합원,글로벌바이오메디컬공학과,"약품분자생물학
Molecular Biology",조은정,"수16:00-16:50【530150】,수17:00-17:50【530150】,수18:00-18:50【530150】",일반수업
PHR3140-41,성균융합원,글로벌바이오메디컬공학과,"유전자및세포치료제
Gene and Cell Therapy",이재철,"수09:00-10:15【530154】,수10:30-11:45【530154】",일반수업
SWE3011-41,성균융합원,글로벌바이오메디컬공학과,"인공지능개론
Introduction to Artificial Intelligence",박진영,"월12:00-13:15【26312】,수13:30-14:45【26312】",국제어수업
