college_name,Department Name,Course Name,Professor,Class Time,Class Room
공과대학,건축토목공학부,"건축공학현장실습2B 
Field Practice 2B in Architectural Engineering ",심성한,미지정,
공과대학,건축토목공학부,"건축공학현장실습3B 
Practical Training 3B of Architectural Engineering ",심성한,미지정,
공과대학,건축토목공학부,"지형공간정보학
Geo-Informatics ",윤홍식,"화15:00-16:15【26307】,목16:30-17:45【26307】",26307
공과대학,건축토목공학부,"에너지자원순환공학
Energy recycle Engineering",염익태,"월12:00-13:15【26305】,수13:30-14:45【26305】",26305
공과대학,건축토목공학부,"글로벌환경원격탐사
Remote Sensing of Global  Environment",최민하,"화09:00-09:50【26217A】,화10:00-10:50【26217A】,화11:00-11:50【26217A】,금15:00-15:50【22402】,금16:00-16:50【22402】,금17:00-17:50【22402】",26217
공과대학,건축토목공학부,"첨단건설IT
Advanced Information Technology in the Construction Industry",진상윤,"수09:00-10:15【22402】,수10:30-11:45【22402】",22402
공과대학,건축토목공학부,"환경수리학
Environmental Hydraulics",이정열,"월16:30-17:45【26512】,수15:00-16:15【26512】",26512
공과대학,건축토목공학부,"건설환경현장실습1B
Co-operative Training in Construction and Environmental Engineering 1B",이제찬,미지정,
공과대학,건축토목공학부,"건설환경현장실습2B
Co-operative Training in Construction and Environmental Engineering 2B",이제찬,미지정,
공과대학,건축토목공학부,"RC구조물설계
Design of Reinforced Concrete Structure",박선규,"화13:30-14:45【26512】,목12:00-13:15【26512】",26512
공과대학,건축토목공학부,"조경현장실습2 
Landscape Architecture Field Practice 2",자연과학,일반수업,
공과대학,건축토목공학부,"조경현장실습1 
Landscape Architecture for Co-operative Program 1 ",자연과학,일반수업,
공과대학,건축토목공학부,"생태복원공학및실습 
Ecological Restoration Engineering and Practice ",정경진,"화15:00-15:50【61301A】,화16:00-16:50【61301A】,화17:00-17:50【61301A】,화18:00-18:50【61301A】,화19:00-19:50【61301A】,화20:00-20:50【61301A】",61301
공과대학,건축토목공학부,"경관생태학 
Landscape Ecology",김민경,"목09:00-10:15【61301A】,목10:30-11:45【61301A】",61301
공과대학,건축토목공학부,"조경화훼식물학
Landscape Flowering Plants",하유미,"월09:00-10:15【61301A】,월10:30-11:45【61301A】",61301
공과대학,건축토목공학부,"환경변화와스마트대응기술
Environmental Change and Smart Response Technology",김형수,"화12:00-13:15【26513】,목13:30-14:45【26513】",26513
공과대학,건축토목공학부,"기후변화와탄소재이용
Climate Change & Carbon Utilization",이제찬,"화13:30-14:45【26305】,목12:00-13:15【26305】",26305
공과대학,건축토목공학부,"친환경건축계획실무
Low-energy Building Design Practice",송두삼,"화18:00-18:50【26305】,화19:00-19:50【26305】,화20:00-20:50【26305】,목18:00-18:50【26305】,목19:00-19:50【26305】,목20:00-20:50【26305】",26305
공과대학,건축토목공학부,"응용통계수문학
Applied Statistical Hydrology",최민하,"화12:00-13:15【26217A】,화13:30-14:45【26217A】",26217
공과대학,건축토목공학부,"응용고체역학
Applied Solid Mechanics",최덕현,"월09:00-10:15【22310】,수10:30-11:45【22310】",22310
공과대학,건축토목공학부,"응용고체역학
Applied Solid Mechanics",최덕현,"월12:00-13:15【22310】,수13:30-14:45【22310】",22310
공과대학,건축토목공학부,"공학수치해석
Engineering Numerical Analysis",전경수,"목09:00-10:15【26223】,목10:30-11:45【26223】",26223
공과대학,건축토목공학부,"공학수치해석
Engineering Numerical Analysis",자비단,"화13:30-14:45【26515】,목12:00-13:15【26515】",26515
공과대학,건축토목공학부,"기술경영개론
Introduction to Management of Technology",조근태,"금15:00-16:15【26223】,금16:30-17:45【26223】",26223
공과대학,건축토목공학부,"기술경영개론
Introduction to Management of Technology",조근태,"목18:00-19:15【27511】,목19:30-20:45【27511】",27511
공과대학,건축토목공학부,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】",26223
공과대학,건축학과,"기본설계2
Architectural Design 2",김지엽,"수10:30-11:45【22526】,수12:00-13:15【22526】,수13:30-14:45【22526】,수15:00-16:15【22526】",22526
공과대학,건축학과,"기본설계2
Architectural Design 2",박은주,"수10:30-11:45【22525】,수12:00-13:15【22525】,수13:30-14:45【22525】,수15:00-16:15【22525】",22525
공과대학,건축학과,"기본설계2
Architectural Design 2",안재석,"수10:30-11:45【22528】,수12:00-13:15【22528】,수13:30-14:45【22528】,수15:00-16:15【22528】",22528
공과대학,건축학과,"기본설계2
Architectural Design 2",조영주,"수10:30-11:45【22527】,수12:00-13:15【22527】,수13:30-14:45【22527】,수15:00-16:15【22527】",22527
공과대학,건축학과,"기본설계2
Architectural Design 2",주순탁,"수10:30-11:45【22530】,수12:00-13:15【22530】,수13:30-14:45【22530】,수15:00-16:15【22530】",22530
공과대학,건축학과,"서양건축사
History of Western Architecture",이현정,"목09:00-10:15【21514】,목10:30-11:45【21514】",21514
공과대학,건축학과,"건축설계스튜디오2
Architectural Design Studio 2",권문성,"화13:30-14:45【22526】,화15:00-16:15【22526】,화16:30-17:45【22526】,화18:00-19:10【22526】,금13:30-14:45【22526】,금15:00-16:15【22526】,금16:30-17:45【22526】,금18:00-19:10【22526】",22526
공과대학,건축학과,"건축설계스튜디오2
Architectural Design Studio 2",이재익,"화13:30-14:45【22525】,화15:00-16:15【22525】,화16:30-17:45【22525】,화18:00-19:10【22525】,금13:30-14:45【22525】,금15:00-16:15【22525】,금16:30-17:45【22525】,금18:00-19:10【22525】",22525
공과대학,건축학과,"단지계획
Site Planning",김도년,"금09:00-10:15【22110】,금10:30-11:45【22110】",22110
공과대학,건축학과,"건축설계스튜디오2
Architectural Design Studio 2",김유리,"화13:30-14:45【22528】,화15:00-16:15【22528】,화16:30-17:45【22528】,화18:00-19:10【22528】,금13:30-14:45【22528】,금15:00-16:15【22528】,금16:30-17:45【22528】,금18:00-19:10【22528】",22528
공과대학,건축학과,"건축설계스튜디오2
Architectural Design Studio 2",변승용,"화13:30-14:45【22527】,화15:00-16:15【22527】,화16:30-17:45【22527】,화18:00-19:10【22527】,금13:30-14:45【22527】,금15:00-16:15【22527】,금16:30-17:45【22527】,금18:00-19:10【22527】",22527
공과대학,건축학과,"디지털모델링
Digital Modeling",박근우,"월09:00-09:50【22111】,월10:00-10:50【22111】,월11:00-11:50【22111】,월12:00-12:50【22111】,월13:00-13:50【22111】,월14:00-14:50【22111】",22111
